review,notes,dates,accords_avis,dessaccords_avis
jai impression voir mêmes avis en pourquoi changer truc nul qui rapporte millions leurs but est vous faire croire que tout ans ça améliore arrêté hacheter,1,05/10/2023,10,0
le pire jeux histoire foutage gueulle mise jour aurait plus honnête est clairement du vol la defense catastrophique anticipé entre lignes pleins incoherences mouvements duel contre en parle pas tetes en gros est fifa en plus nul oui est marque fifa depuis ans sa régresse font milliards euros sur notre dos alors qu avec tout cet argent il devrai aisement faire évoluer jeu sens demande leurs enrichisseurs terminer fifa en attente concurrent qui sera honnete recuperer tout clients aller gars en parler autour vous ce renseigner faire évoluer cette idee trouver concurrent,0,03/10/2023,10,0
absolument scandaleux proposer jeu foot aussi buggé défense catastrophique gardiens atroces tout système défensif est défaillant il est pratiquement impossible jouer sereinement sans vivre situations grotesques pendant match des scores tennis buts complètement wtf mais pire est cet effet patinoire où joueurs glissent constamment ne tiennent pas debout merci aux heures ea play avoir épargné cet attentat vidéoludique,2,29/09/2023,20,2
une arnaque tout simplement le jeu est pire que fifa la défense est totalement injouable impossible prendre balle aux attaquants qui glissent comme si ils étaient patinoire animations leur blague hypermotion sont grotesques animations sont pires que fifa précédents il vidéo fifa qui tournent en ce moment qui montrent que ça régressé ce niveau là je vous invite aller voir les engagements toujours autant bugés profondeur toujours autant dévastatrice défenseurs qui reculent laisser passer attaquants en passe sam kerr ses qui bougent mon van dijk gagne duels tête défenseurs plus mais wtf il pas match qui ne finit pas par score tennis impossible être en place tellement ça va tous sens ce jeu mérite pointé tellement ea sports se fiche du monde en ai terminé avec jeux foot après plus ans bon loyaux services mais je ne suis plus public visé en bref passez votre chemin sinon vos manettes vont passer,0,07/10/2023,14,1
le pire fifa impossible défendre correctement grands ponts gogo gardien passoire extrêmement déçu vrai daube rarement tel échec,2,08/10/2023,12,1
plus ans que je joue cette licence je pense que je ai jamais vu jeu aussi mauvais aussi mal fini ai impression que ea rassemblé tous bugs opus précédents celui ci rien ne va je ai même pas envie énumérer tellement il en est gameplay plus nul injouable insipide tous fifa confondu sinon rien changé tous modes jeu est toujours mêmes qu il ans mais ça on habitude les menus sont lents ça aussi est raté bref ai pas tout en tête mais est loin plus mauvais jeu que ai pu testé un beau bien mérité,0,13/10/2023,7,0
depuis fifa ai acheté tous fifa sortie depuis quelques années déjà je voyais qu ils se foutaient nous je ai mis avis mais je suis obligé gameplay est casi même depuis fifa en ai marre payer maj chaques années bien mérité,0,02/10/2023,7,0
essayé sur ea access franchement était largement suffisant voire qu il évolution comme note que je lui attribue par rapport aux précédents opus on ne sent même plus différence pad en main là on tombe vraiment escroquerie achetez pas cette arnaque gardez votre argent jeu qui en vaut peine,0,02/10/2023,7,0
chaque année jeux sont plus en plus nul ce fc est pire jeu foot depuis plusieurs années ea osé retiré entrées joueurs ce qui gâche tout je ne comprends pas comment ils ont pu faire ça entrée présentation joueurs hymnes compositions équipes font parti du match sans ça je ai aucune envie jouer sans parler du peu nouveautés,0,01/10/2023,7,0
ea tué cette licence avec fut il rien autre dire ce jeu carte rien faire sur jeu simulation foot on ne peut même pas faire du ect avec potes en ligne en,1,20/10/2023,5,0
pire jeu on change pas équipe qui gagne je pensais que ça allait changer ne serait ce qu un peu avec nouveau je pensais mal il en est guère fuir,0,09/10/2023,5,0
le pire fifa depuis que joue fifa le jeu fait que bug menus des bug daffichage match sur deux au niveau matchs est au moins méritant gagner le jeu décide avance qui va gagner ne en cache plus avec contres favorables tout vas un bon fifa bien nul qui me donne envie arrêter complètement se je,1,09/10/2023,5,0
une simple copie fifa des ajouts mineurs qui ne nécessitent pas tarif aussi élevé pour couronner tout cinématiques entrées ont été supprimées la priorité est clairement donner fut au détriment joueurs solo,5,09/10/2023,8,1
lamantable score fleuves pas constructions attaquants sur scooter surtout aucun plaisir jouer pourtant je en veux pas ea en veux konami aux joueurs qui on pas acheter ce jeux merveilleux qu etait pes,1,03/10/2023,7,1
comme hab on fait copier coller chaque année en changeant seulement nom graphismes puis ce est pas en ajoutant quelque petits truc par ci par là qu on fait nouveau jeux pire est que ce est pas que ea toute grandes boîtes du jv sont devenu catastrophe,0,09/10/2023,4,0
sincèrement déçu ce jeux remplis bug honte surtout au niveau du gardien défense vous avez pas sensation contrôler votre jeux mais plus sensation jouer roulette rouge ou noir gagner match est avoir chance que bug sois votre coter,1,02/10/2023,4,0
honnêtement nombre choses qui ont été supprimés fifa ce jeu on est censé parler progrès année en année mais encore fois ea se fiche bien nous plus cinématique entrée graphismes digne une console portable et faire payer gens prix fort ce navet on peut même plus régler luminosité est dire quel point est grotesque le gameplay est cataclysmique en mode online est que passes interceptées forcing savoir qui aura ballon bref est déjà beaucoup,1,01/10/2023,4,0
chaque année on nous fait mêmes promesses mêmes annonces ea écouté joueurs le mode carrière totalement repensé pleins nouveauté et au final on se retrouve lequel rien évolue hormis maillots compositions équipe merci ea play avoir permis tester ce jeu dissuader ainsi achat une telle purge il plus aucun fun jouer fifa jeu perdu licences demeure sur ce point moins complet que fifa âme du jeu est envolé jusque menus moche pas pratique du jeu je ne parlerais pas scripts bugs que on peut rencontrer absence concurrence sérieuse vraiment justifié ea que on pouvait nous prendre jambons fuyez remettez fifa console vous vous amuserez plus,1,29/09/2023,6,1
il faut être clair il plus aujourd hui simulations foot aujourd hui fc est pas mauvais jeu absolu mais ce est pas simulation foot tant gameplay est très loin faire ressentir minima sensations un match foot donc ceux qui apprécient interprétation spectaculaire du foot énormément contenus joli habillage allez pour autres oubliez fc,8,03/10/2023,5,1
un même nombre mots qui résume ce ea sports fc grosse merde pire fifa tout temps ce jeu est insulte aux football un graphismes toujours aussi bons quelques nouvelles cinématiques le reste mérite,4,29/09/2023,6,2
ai créé compte exprès pouvoir déverser ma haine ce jeu le site donne là gros problème intégrité comment peut on donner note pareille est du foutage gueule honte vous qui induisez en erreur vos lecteurs ce jeu est bouse complète défense ingérable inaccessible joueur casual que tryharder injouable qui dribblent tous sens sans aucune construction une parodie football avec scores hand ball avais pas rejoué depuis fifa je me suis rappelé pourquoi je ai eu pack ps sinon aurai jamais acheté cette merde,0,14 mars à 00:35,4,1
bien content ne plus acheter ce jeu depuis fifa ai tout même occasion jouer lorsque mon neveu vient chez moi je lui fais quelque matchs fut lorsqu il besoin gagner mais qu est que est nul franchement étais puriste pes je suis passé sur fifa en justement parce que er devenais bcp trop arcade alors que fifa proposait possession balle bien plus réaliste course solitaires en dribbles difficile réalisé etc aujourd hui on que scores fleuve tu peux mener mt perdre les défenses sont si nuls tjrs mal placé qd bien meme on se positionne bien script fais que votre joueur donne sensation glisser sur terrain intercepte pas balle sauf il est largement meilleur que joueurs en face ou est contraire récupère balles même direction que vous avez pas choisi les gestes techniques tout va qui ont jamais échec croire qu on peut enchaîner geste plus fou sans jamais perdre contrôle du ballon ni se fatiguer on se croirait plus fifastreet globalement jeu est joli même si est tjrs mêmes graphismes certaines animations sont bien faite mais qu est qu on en fou on veut du vrai gameplay matchs on on cherche solutions par passe ou dribbles risquer mais qui demande bien plus maîtrise timing que simplement tourner joystick droit tous sens bref ce jeu plaît au plus jeunes parce qu ils jouent avec leurs idoles fantasme sur leurs équipe composé meilleurs joueurs mais depuis arrivé du mode fut grosse pompe fric ce jeu est simplement mauvais les années en saison simple était bien meilleur il me manquais que dès match type ldc ou autre challenge plus prenant le mode club pro était seul qui me tenais sur ce jeu il tjrs été laissé côté progression nuls joueurs qui atteignent tous cours partout sur terrain sans respect leur poste qui ne fatigue peine bref copier coller encore fois avec ajouts nuls sans fond comme bandes sonores ou tifo en plus voir supporters je suis pas fan ajout joueuses féminines mais est pas très important ça ne aurais pas empêcher jouer si jeu avait été bon faut vraiment que gens arrête acheter dépenser argent fut qu ils puissent se remettre en question ai testé football si est bcp plus dur passer dribble jeu avais air bien scripter aussi relativement pauvre en gameplay concurrence est dommage qu on puisse pas enfin reprendre du plaisir jeu foot sérieux,1,02/10/2023,4,1
essayé sur eaplay ai économisé bugs menu gameplay mode carrière tout est moins bien que fifa passez votre chemin si vous recherchez prendre du plaisir jeux sur rectangle vert car est ennuie plus total,2,02/10/2023,4,1
allez je mets graphismes parce que est quand même joli sinon gameplay chier on prend aucun plaisir jouer ai impression que est pire en pire depuis fifa ai impression que cette licence est finie cette année ai eu curiosité aller voir mode fut mais faut encore raquer jouer ou level up est scandale,2,01/10/2023,4,1
je joue play depuis ans ce jeu est premier que ai vraiment eu envie vendre dommage je ai acheté sur store deux fifa que ai pas prit sur dernières années celui là me fait arrêter espère que flambeau sera reprit par développeurs qui aiment plus foot que jeux cartes payer sinon est mon dernier jeu foot,0,10/12/2023,2,0
si on pouvait mettre moins aurais mis je vais donner mon avis très franchement cette annee jeu est horreur sans nom le script lags contres favorables arbitrage incroyablement chier cest du nimporte quoi depuis fifa tu as qu appuyer sur triangle travers tout terrain enrouler metres mettre butle jeu est injouable si vous ne regardez pas tutos sur tiktoks ou youtube apprendre techniques les plus broken cette année jeu est horreur sans nom tous ans je perds acheter je joue mois je suis degouter pendant on est en novembre je pete mon cranepour resumer jeu est horrible je joue exclusivement en club pro fuir go boycott,0,06/11/2023,2,0
je ne sais même pas par où commencer ce jeu se dégrade année en année au regard ses bugs récurent tantôt gameplay que menu quand on joue on littéralement peur qu un bug se produise nous fait encaisser but joueur qui ralentit sans raison joueur qui ne réagit pas gardien qui saute envers joueur qu on ne peut pas sélectionner oui algorythme sélection joueurs est véritable fiasco etc liste est très longue cela nuit fortement expérience jeu autant plus que bugsdu type menu ultimate team qui ne charge plus score board qui bug affiche mauvais score ou disparait etc rendent ce jeu baclé alors oui il points positifs comme excellent graphisme visuel multitude mode jeu etc mais un point vue général ce jeu est plus ce qu il était avant,1,22/10/2023,2,0
étant grand fan franchise cet année je me suis posé question savoir si je jouais vraiment fifa ea sport fc est pire fifa que ai eu jouer étant adepte ce jeu depuis aucune sensation aucun plaisir aucun réalisme gameplay ça ressemble plus jeu tenis qu jeu foot je regrette même avoir acheter cet opus tellement on ne ressent plus adn fifa,1,20/10/2023,2,0
unique point quantité équipes presentent sur jeu le reste du jeu est scandale sans nom pompe fric depuis années gameplay est pire en pire depuis ans le script omniprésent tous matchs contre favorables vitesse joueurs est pas respectée par rapport ce que jeu dit un défenseur vitesse peut etre plus rapide qu un attaquant ayant bref incompréhensible ce jeu et clou du suspens courses gardiens sont catastrophiques bon déroulement du jeu trop bugs sont présents sur jeu depuis années rien ete fait corriger cela le jeu football plus réaliste disent ils je prenais plus plaisir jouer fifa sur ps bref amateur football fuyez jeu économisez aller voir vrai match foot,1,17/10/2023,2,0
un jeu arcade avec joueurs trop rapide fonctionnalités gameplay relatives au contrôle joueurs arrêt absent par rapport fifa des cinématique ouverture ridicule sans compositions équipe complètement déconnecté réalité les matches hautes intensités sont véritables foutouard du fait que joueurs ont pas réellement possession un ballon trop versatile pas stabilité tenue du ballon est vraiment du grand importe quoi la seule chose que explique bons résultats vente cette bouse est que ea est seul sur son marché sans réelle concurrence sérieuse il aurait simplement fallut qu ea reprenne fifa réactualise avec effectif maillot chaussures nouvelle saison au lieu prendre fifa détériorer un mot qualifier ce nouvel opus écœurant,1,12/10/2023,2,0
définition parfaite du pay to win comme habitude plus aucun plaisir jouer au mode fut ajout féminines fut logique plus cartes donc plus variantes donc plus packs donc plus tunes on connaît recette avoir gardiens plus global qui ont niveau district mais normal comme habitude pas amélioration ea apprend toujours pas ses erreurs dommage vivement conçurent hauteur,1,11/10/2023,2,0
horrible jeu plus hymne ldc on au lieu ça gros cadre objectif dont personne en quelque chose faire plus cinématique entrée joueurs public horriblement mal fait aucun progrès depuis années nombreuses catastrophes qui se produisent entre joueurs comme chaque fifa du style joueurs qui se rentrent dedans qui ne tiennent jamais debout buts gags qui arrivent quasiment tout match niveaux difficultés en mode carrière qui sont complément éclaté en pro est aveugles en face difficulté au dessus qui est champions est injouable impossibilité changer langue commentaire en match gros coup dur réalisme en passe bref ce jeu est énorme blague chaque année est pire en pire bref fc est largement moins bien que fifa est honte absolue ne gaspillez pas votre argent cette daube,1,10/10/2023,2,0
est ce que ce jeu mérite non il en mériterais plutôt est énorme bouze comme tout fifa depuis années mais ea est capable chaque année nous étonner toujours peu plus et prouver que ils se foutent totalement gueule leur client qu ils ne comprennent absolument rien au football voyant gens jouer toujours plus fût mettre toujours plus argent pack opening se disent que leur clientèle est définitivement lobotomisé que par conséquent il avait aucune raison ne pas continuer se payer leurs tronches les gros défauts ce jeu vitesse jeu beaucoup beaucoup beaucoup beaucoup trop rapide tout est assisté pressing passe en profondeur blocs véritable bonheur joueur meta tout ceux qui ont appris foot via fut qui comprennent rien un enfer ceux qui essaie tant soit peu jouer au foot open bar au niveau du script ia entends très souvent joueurs se réjouir nouveautés du mode carrière mais je ne comprend pas comment on peut se devant cinématique mode carrière en oubliez essence du jeu le gamplay et avec ia pareil est tout simplement nul chier quoi bon avoir logo championnats équipes affichage officiel du championnat avec maillots stades si est avoir impression jouer contre ia totalement debile en même temps complètement cheater qualités des super musiques comme très souvent mais playlist je vous conseil abonnement spotify ou deezer dernier carton rouge adressé au journaliste jeuxvideo com qui réalisé critique ce fc le chèque venu ea devait être assez conséquent avoir culot mettre cette bouze donc cher monsieur choses une soit vous vous êtes fait acheter par ea vous avez rien faire en tant que journaliste soit vous trouvez que ce jeu est réellement bien ce moment là vous avez problème psychatrique avez rien faire là non plus bref que ce soit jeuxvideo com ou ea comment arrivez vous regardez glace matin,0,10/10/2023,2,0
dire que certains payent dernier jeu fifa actif mais qui sont pigeons qui payent ça balles est jeu foot plus médiocre auquel je ai jamais joué ma vie est catastrophe gameplay ça en devient lunaire des gardiens en pâte modeler joueurs patineurs artistiques qui tombent toutes minutes un affichage menu horrible bref ai payé abonnement ea play sur mois cents tester jeu sans avoir payer en entier quelle bonne idée part ea que cet abonnement ça confirme toute médiocrité leur dernier joujou qui ne vaut même pas tellement est claqué au sol sur mes heures jeu ai encore restantes je comprends pourquoi il est terriblement nullissime je suis impressionné par autant nullité ils ont pas perdu que licence avec cet opus ils ont perdu aussi joueurs car il ne reste plus que plus grosses dindes parmi amateurs ou mordus foot encore payer cette arnaque grandeur nature que dis je cette arnaque mondiale,0,06/10/2023,2,0
je pense fc chaque fois que je assoie depuis septembre attaquants surpuissants mais défenseurs gardiens nul chier rendant jeu complètement déséquilibré donnant scores ou par exemple un manque réalisme total,0,06/10/2023,2,0
le pire fifa histoire sur ut defense est catastrophique ils ont essayer tenter quelque chose mais ce est clairement pas au point se demander si ils ont réellement eu temps finir jeu où ils ont balancé ca comme ca objectif améliorer avec maj attaque est encore fois plus que jamais favorisée le vrai football est mort jeux videos je regrette dd avoir acheté ce sera dernier que achète si cette merde ne améliore pas,0,03/10/2023,2,0
ai revendu jeu au bout jours le gameplay est catastrophique le réalisme inexistant score tennis buts improbables erreurs grossières la liste problèmes est longue tout est revoir je ai pas du tout aimé fifa sur xbox one mais je peux vous dire que fifa fifa sur xbox one était meilleurs une lente régression vers ce qu il pire chez ea,2,08/10/2023,3,1
jeu mal équilibré je avais plus joué fifa depuis ou ans je me suis donc laissé tenté par ce ea fc sur mode solo rien dire tout ce qu on attends du jeu est bien là ai commencé carrière entraineur instant espérience est agréable le problème vient du multi du gameplay énormes problèmes se pose premier est au niveau gameplay un style jeu est beaucoup trop fort par rapport aux autres il sagit contre attaque si vous ne jouez pas comme ça impossible gagner jeu possession est complétement inutile il clairement problème équilibrage ce jeu le ème gros problème est mode en ligne ai enchainé défaites sur fut avant gagner mon premier match jeu ne prends pas en compte niveau joueurs lance matchs au hasard il est donc facile ne tomber que sur joueurs beaucoup trop fort nous surtout quand on achète jeu day one on en tombe que sur brutes est décourageant incroyable qu il ai pas système élo en alors oui quand forts joueurs auront atteint divisions élevés ça sera plus jouable mais attendant expérience utilisateur est catastrophique dernier point négatif concernant ajout femmes sur fut je ne vais pas trop en dire mais ça ruine peu réalisme,9,01/10/2023,3,1
jeu tres limitégameplay pauvre dure passer fifa ca pourtant etait pas fou mais clairement catale pire jeu tout temps loin bon point possitif est que saison pro ils peuvent pas faire pire,5,13/10/2023,2,1
le pire jeu football cette planète temps additionnel interminable ou arbitrage ne siffle jamais ou encore faite qu il est impossible dégager en touche même pleine puissance beaucoup bug seul point positif direction artistique est belle,3,20 avr. à 17:48,1,0
le jeu existe encore car il pas concurrence mode ultimate team est catastrophe le script honte et tout pack que on gagne devenu non échangeable ils font tout nous obliger mettre argent pouvoir espérer avoir joueurs,1,18 avr. à 17:12,1,0
pire fifa tout temps surtout mode fut horrible gens on déjà équipe au milieu jeu bugs partout même menues jeu on en parle même pas gameplay horrible fou acheter pas vous allez juste rage,0,09 avr. à 06:32,1,0
le pire fifa histoire probablement pire jeu football histoire après années années jouer sur fifa je crois que cette année sera dernière que achète ce jeu espère bien qu il aura autre jeu concurence espérant également retour konam,0,13 mars à 11:58,1,0
voilà jeu football qui ne ressemble en rien du football amusement est pas depuis années ce nouvel opus est pire assurément grand importe quoi,0,11 mars à 20:23,1,0
le jeux est vraiment revoir est vraiment honte est jeux plus beugé new génération il faut relancer tout min parce que il freez serveur sont toujours pleins du coup impossible connecter moitié du temps il te font payer cette daube je sais mais pas comment il on pas honte avoir oser sortir jeux mais bon il toujours du fric donc il en fiche mais sa va leurs retomber dessus ces jours est dommage eux,5,06 mars à 22:26,1,0
un bien mérité parce que aime trop ce sport qu est football que ce jeu ressemble tout sauf ce sport que aime tant parce que ai mis jeu qui est même pas finit nous sommes en mars est première que je désinstalle fifa aussi tôt année est tout simplement pire fifa jamais sortie je sais quoi je parle je suis adepte depuis le jeu est tout simplement horrible parlons cette impression que vos joueurs patine comment ea peut voir ça sortir jeu sans jamais corrigé cette horreur joueurs glisse littéralement sur terrain les animations complètement irréaliste jambe qui passe travers autre essayé en contrôlant messi faire gauche droite avec votre joystick gauche vous allez voir que gars est littéralement assis comment est ce possible le gameplay problème majeur ce eafc le pire tout fifa confondu mais bon pas grave cheveux joueurs bouge lacets chaussures aussi intelligence artificielle est tout simplement impossible jouer axe déplacements sans ballon sont nul aucun joueurs qui vient chercher ballon axe bu qui se cache derrière défenseurs adverses quand vous avez ballon au milieu terrain vos défenseurs qui vous fonce dessus mon dieu le moteur graphique frosbite est complètement cassé tant qu ea continuera travailler avec on se coltinera même jeu merdique pendant années étant fan du mode carrière malgré manque nouveautés travers années je suis force constater qu il zéro nouveauté intéressante ea quand même cette année retirer une seules choses immersive entrée avec affichage compos etc ils ont pensé que ce serait bonne idée retirer gars réfléchisse envers il surement autres chose que oublie mais ce jeu ses développeurs ne mérite même pas ou je vois certaines personnes dire je met bonne note remonter peu note globale du jeu est cause ce genre réaction qu on paye jeu merdique depuis tant années qu ea nous sorte même jeu horrible depuis fifa vous vous rendez compte que dernier vrai bon date il ans une honte,0,02 mars à 02:52,1,0
alors que dire que dire adepte licence pc depuis fifa ai toujours été fidèle joueur achetant chaque année nouvel opus cela aussi été cas sauf que là problème déjà depuis avais quelques problèmes au niveau du lancement du jeu obligeant quasi systématiquement désinstaller ou bidouiller leur système anti triche mais arrivais tout même jouer sans problèmes arrive je met euros jouer en effet au mois octobre arrive maj après laquelle je ai plus jamais pu lancer mon jeu me rappelant problèmes son prédécesseur je vais sur forums me renseigner je aperçois alors que autres joueurs ont même problème que moi anti cheat se lance écran noir puis jeu se ferme plusieurs solutions émergent mais concrètement aucune ne marche après avoir tout mais tout essayé je me résigne attendre nouvelle maj qui pourrait régler problème ahah mais quelle réactivité ea un problème datant du mois octobre nous sommes bientôt au mois mars aucun mais aucun effort été fait que ça soit au niveau une maj ou même une simple réponse du service client parfaitement inutile ea en fout ses joueurs pc qui doivent se débrouiller par eux mêmes lancer jeu qu ils ont payé balles après quasiment ans fidélité ea viennent perdre client conclusion euros déboursés jeu bien sûr impossibilité remboursement est vraiment dégueulasse prendre ce point clients rde,0,29 févr. à 15:57,1,0
je poste après jeu je ai acheté peut être mois heureusement je ai acheté que même si est trop je joue principalement en carrière joueur ai toujours eu cette impression qu ea doivent supprimer choses remplacer par autres choses qui étaient déjà là genre ans ils peaufinent vite fait faire genre est nouveau basta pourquoi je ne peux pas partir en prêt pourquoi bandes chevilles ont été enlevés pourquoi entrées aussi pourquoi mes coéquipiers me bouchent chemin pourquoi mon poste est jamais respecté quand je change club je suis seul pas trop kiffer nouveau système avec agent était bien être approché par différents club faire son choix là en fait on choisit comme on veut du moment qu on remplie objectifs et pourquoi ai pas droit cinématique moi en tant que joueur ai aussi envie voir tronche mon agent en cinématique voir mon pro signature du contrat ai peut être envie négocier ma durée contrat ou mon salaire ai peut être envie aussi me plaindre mon salaire durant saison comme on fait joueurs quand on fait carrière manager pourquoi est réservé carrière manager et nouveau système personnalité avec points inutiles ai impression que ça aucun impact lors un match je vais pas parler du mode fut où ils ont osé foutre hommes femmes mélangés nous faire croire qu une alana cook fout coup épaule haaland faut pas déconner quand même en fait on dirait version beta où ea fourrent tout on verra par suite pour fc ils vont rajouter option prêt avec option achat mais en améliorer faire passer pilule puis éventuellement remettre bandes chevilles place entrées ils vont nous sortir nouveau geste technique inutile peut être énième cinématique inutile,4,28 févr. à 23:18,1,0
terrible que bugs injouable plateforme échange désagréable aucune constructiveje rajoute caractères que avis soit assez long mais il rien ajouter,0,25 févr. à 15:34,1,0
le plus mauvais jeu sport qui ait été jouer points contenu visuel général qui est assez bon parlons du gameplay il existe pas il est régi par scripts même contre ia quand on ballon est assez plaisant mais lorsqu il faut défendre est importe quoi joueurs glissent tacle côté se font prendre vitesse perdent tous contres ont aucune réactivité est galère physique est complètement buggé ce qui prouve manque complet compétences chez codeurs ou alors aucune connaissance ce sport chez développeurs pour finir sport si important qui adapte parfaitement au jeux vidéo est monopolisé malheureusement par société qui ne respecte pas est lamentable,2,23 févr. à 19:49,1,0
il faut détester football aimer ce navet injouable ce titre est tout simplement grotesque avec produit comme celui là ea sports se moque clairement joueurs jeu desinstallé vendre cette fois ea moi est bel bien terminé boycott total,0,13 févr. à 04:33,1,0
worst game ever ever ever club pro nothing is working bots are just jokefut bulshit again broken cards broken rewardstransfert market freezing just delete this game,0,28 janv. à 22:09,1,0
je sais même pas pourquoi ai acheté cette dope je savais déjà depuis achète plus aucun fifa même avant cette année étais déçu autres bref ai craqué bouze honnêtement en vous avez fait tour du jeu circulez il rien voir,0,21/12/2023,1,0
fc est pire tous ai jouer tout fifa mais celui là est injouable ai jamais vue défense aussi merdique gardiens inexistant tout est contre favorable alors que est impossible voir va en vrai insupportable ai jouer match je suis déjà bout achetez surtout pas jeux cette année,0,13/12/2023,1,0
jouez ea fc jouez ensuite fifa fifa en dessous donc jeux en dessous est le même jeu aucune amélioration rien seul truc meilleur ea fc est légèrement graphismes on nous vend même daube chaque année est scandaleux nous comme pigeons on achète est année trop moi,0,07/12/2023,1,0
injouable mec prend ballon impossible lui prendre ai jamais vue fifa aussi mal fait est pas du foot sa ya trop chose péter simulation sa est sketch jeu tu te retourne encore encore ballon tu peut pas prendre impossible double pressing se que tu veut frappes est quand jeu décidé bref scrypter fond plus cava plus est merde choquer du gameplay degeulasse,2,05/11/2023,1,0
une calamite un jeu catastrophique beaucoup trop méta qui ne ressemble en rien du football si en plus vous rajoutez script omniprésent lorsque vous jouez en ligne vous obtenez arnaque du siècle ce jeu est fraude sans nom ea ne se cache pas sa volonté prendre gens débiles,0,03/11/2023,1,0
de pire en pire en pire en pire comment est possible me diriez vous et bien ea réponse votre question je ne vais pas lister tous problèmes ce jeu car en aurai heures je vais parler du plus gros problème qui est rééquilibrage matchs de quel droit jeu nous impose variation du niveau jeu nos joueurs on gagne nos joueurs deviennent nul puis on perd est génial des bugs jamais corrigés pourquoi conduite balle messi prime est accessible tout monde vous aurez compris que ce jeu est naze ps je suis div élite fait rang fut champ,0,03/11/2023,1,0
catastrophique comme son habitude ce est pas simulation mais bel bien jeu arcade quand vrai jeu foot,0,01/11/2023,1,0
une daube monumentale pay too fast pay to win bien trop présent jeu la jouabilité horrible on impression jouer pes bêta et dites vous que pire tous ça est que ça va être fifa plus rentable histoire puisqu ils ne payent plus aucun droit fifa une belle arnaque planétaire,0,01/11/2023,1,0
de déception hésite retourner sur ancien fifa surtout plus petite music ldc avant matchs ni compo équipes il parle réalisme mais ils enlèvent réalisme qui fait début un match,10,28/10/2023,1,0
