review,notes,dates,accords_avis,dessaccords_avis,cleanned_review,classification
jai l'impression de voir les mêmes Avis q en 2022 2023  pourquoi changer un truc nul qui rapporte des millions   leurs but c'est de vous faire croire que tout les ans ça  s'améliore arrêté de les hacheter,1,05/10/2023,10,0,jai impression voir mêmes avis pourquoi changer truc nul rapporte millions leurs but faire croire ans améliore arrêté hacheter,anger
Le pire jeux de l'histoire 70e ? Foutage de gueulle une mise à jour aurait plus honnête la c est clairement du vol. La defense catastrophique pour anticipé entre les lignes pleins d incoherences dans les mouvements duel contre j en parle pas des tetes en gros c est fifa 23 en plus nul et oui c est la marque fifa depuis 7 ans sa régresse et font des milliards euros sur notre dos alors qu avec tout cet argent il devrai aisement faire évoluer le jeu dans le sens de la demande de leurs enrichisseurs.terminer fifa en attente d un concurrent qui sera honnete et recuperer tout les clients.Aller les gars en parler autour de vous t a ce renseigner pour faire évoluer cette idee de trouver un concurrent,0,03/10/2023,10,0,pire jeux histoire foutage gueulle mise jour aurait honnête clairement vol defense catastrophique anticipé entre lignes pleins incoherences mouvements duel contre parle tetes gros fifa nul oui marque fifa depuis ans régresse font milliards euros notre dos alors avec cet argent devrai aisement faire évoluer jeu sens demande leurs enrichisseurs terminer fifa attente concurrent sera honnete recuperer clients aller gars parler autour renseigner faire évoluer idee trouver concurrent,anger
Absolument scandaleux de proposer un jeu de foot aussi buggé.Défense catastrophique des gardiens atroces tout le système défensif est défaillant. 😡Il est pratiquement impossible de jouer sereinement sans vivre des situations grotesques pendant un match.Des scores de tennis des buts complètement WTF mais le pire est cet effet de patinoire où les joueurs glissent constamment et ne tiennent pas debout 😫Merci aux 10 Heures de l’EA Play de m’avoir épargné cet attentat vidéoludique.,2,29/09/2023,20,2,absolument scandaleux proposer jeu foot aussi buggé défense catastrophique gardiens atroces système défensif défaillant pratiquement impossible jouer sereinement sans vivre situations grotesques pendant match scores tennis buts complètement wtf pire cet effet patinoire joueurs glissent constamment tiennent debout merci aux heures play épargné cet attentat vidéoludique,sad
"Une arnaque tout simplement.Le jeu est pire que FIFA 23. La défense est totalement INJOUABLE impossible de prendre la balle aux attaquants (qui glissent comme si ils étaient à la patinoire) les animations de leur blague ""HYPERMOTION V"" sont grotesques les animations sont pires que les Fifa précédents ! Il y a une vidéo de fifa 19 qui tournent en ce moment qui montrent que ça a régressé à ce niveau là je vous invite à aller la voir. Les engagements toujours autant bugés la profondeur toujours autant dévastatrice les défenseurs qui reculent pour laisser passer les attaquants et j'en passe. Sam Kerr et ses 1m63 qui bougent mon Van Dijk et gagne des duels de la tête de défenseurs de plus de 1m90 mais WTF ????????Il y a pas un match qui ne finit pas par un score de tennis impossible d'être en place tellement ça va dans tous les sens. Ce jeu mérite un 0 pointé tellement EA sports se fiche de la g***** du monde. J'en ai terminé avec les jeux de foot après plus de 20 ans de bon et loyaux services mais je ne suis plus le public visé. En Bref passez votre chemin sinon vos manettes vont y passer.",0,07/10/2023,14,1,arnaque simplement jeu pire fifa défense totalement injouable impossible prendre balle aux attaquants glissent comme étaient patinoire animations leur blague hypermotion grotesques animations pires fifa précédents vidéo fifa tournent moment montrent régressé niveau invite aller voir engagements toujours autant bugés profondeur toujours autant dévastatrice défenseurs reculent laisser passer attaquants passe sam kerr ses bougent mon van dijk gagne duels tête défenseurs wtf match finit score tennis impossibl,sad
Le pire « fifa ». Impossible de défendre correctement des grands ponts à gogo un gardien = passoire. Extrêmement déçu une vrai daube. Rarement un tel échec.,2,08/10/2023,12,1,pire fifa impossible défendre correctement grands ponts gogo gardien passoire extrêmement déçu vrai daube rarement tel échec,sad
Plus de 10 ans que je joue à cette licence. Je pense que je n'ai jamais vu un jeu aussi mauvais et aussi mal fini.J'ai l'impression que EA a rassemblé tous les bugs des opus précédents dans celui ci rien ne va. Je n'ai même pas envie de les énumérer tellement il y en a. C'est le gameplay le plus nul injouable et insipide tous FIFA confondu.Sinon rien n'a changé dans tous les modes de jeu. C'est toujours les mêmes qu'il y a 5 ans mais ça on a l'habitude. Les menus sont lents ça aussi c'est raté. Bref j'ai pas tout en tête mais c'est de loin le plus mauvais jeu que j'ai pu testé. Un beau 0 bien mérité.,0,13/10/2023,7,0,ans joue licence pense jamais jeu aussi mauvais aussi mal fini impression rassemblé tous bugs opus précédents celui rien envie énumérer tellement gameplay nul injouable insipide tous fifa confondu sinon rien changé tous modes jeu toujours mêmes ans habitude menus lents aussi raté bref tête loin mauvais jeu testé beau bien mérité,sad
depuis fifa 08 j'ai acheté tous les fifa à la sortie depuis quelques années déjà je voyais qu'ils se foutaient de nous. je n'ai mis d'avis mais la je suis obligé le gameplay est casi le même depuis fifa 18. j'en ai marre de payer des maj chaques années. 0/20 bien mérité,0,02/10/2023,7,0,depuis fifa acheté tous fifa sortie depuis quelques années déjà voyais foutaient nous mis avis suis obligé gameplay casi depuis fifa marre payer maj chaques années bien mérité,anger
Essayé sur l'EA access et franchement c'était largement suffisant pour voire qu'il y a 0 évolution (comme le note que je lui attribue) par rapport aux précédents opus. On ne sent même plus la différence pad en main. Là on tombe vraiment dans l'escroquerie! N'achetez pas cette arnaque! Gardez votre argent pour un jeu qui en vaut la peine.,0,02/10/2023,7,0,essayé access franchement était largement suffisant voire évolution comme note lui attribue rapport aux précédents opus sent différence pad main tombe vraiment escroquerie achetez arnaque gardez votre argent jeu vaut peine,anger
Chaque année les jeux sont de plus en plus nul et ce FC24 est le pire jeu de foot depuis plusieurs années.EA a osé retiré les entrées des joueurs ce qui gâche tout je ne comprends pas comment ils ont pu faire ça. L'entrée et la présentation des joueurs les hymnes et les compositions des équipes font parti du match sans ça je n'ai aucune envie d'y jouer sans parler du peu de nouveautés.,0,01/10/2023,7,0,chaque année jeux nul pire jeu foot depuis plusieurs années osé retiré entrées joueurs gâche comprends comment ont faire entrée présentation joueurs hymnes compositions équipes font parti match sans aucune envie jouer sans parler peu nouveautés,anger
EA a tué cette licence avec FUT il n'y a rien d'autre à dire.Ce jeu de carte n'a rien à faire sur un jeu de simulation de foot.On ne peut même pas faire du 2v2 3v3 ect avec des potes en ligne en 2023,1,20/10/2023,5,0,tué licence avec fut rien autre dire jeu carte rien faire jeu simulation foot peut faire ect avec potes ligne,neutral
Pire jeu on change pas une équipe qui gagne. Je pensais que ça allait changer ne serait-ce qu'un peu avec le nouveau je pensais mal il n'en est guère. À fuir.,0,09/10/2023,5,0,pire jeu change équipe gagne pensais allait changer serait peu avec nouveau pensais mal guère fuir,sad
Le pire fifa depuis que j’y joue (fifa 09). Le jeu fait que bug dans les menus. Des bug daffichage 1 match sur deux. Au niveau des matchs c’est au moins méritant de gagner. Le jeu décide à l’avance qui va gagner et ne s’en cache plus avec des contres favorables à tout vas. Un bon fifa bien nul qui me donne envie d’arrêter complètement se je de m***,1,09/10/2023,5,0,pire fifa depuis joue fifa jeu fait bug menus bug daffichage match deux niveau matchs moins méritant gagner jeu décide avance gagner cache avec contres favorables vas bon fifa bien nul donne envie arrêter complètement,sad
Une simple copie de fifa 23. Des ajouts mineurs qui ne nécessitent pas un tarif aussi élevé. Pour couronner le tout les cinématiques d’entrées ont été supprimées…La priorité est clairement donner à FUT au détriment des joueurs solo.,5,09/10/2023,8,1,simple copie fifa ajouts mineurs nécessitent tarif aussi élevé couronner cinématiques entrées ont été supprimées priorité clairement donner fut détriment joueurs solo,sad
lamantable des score fleuves de 7 à 6 pas de constructions des attaquants sur scooter et surtout aucun plaisir a jouer.pourtant je n'en veux pas à ea j'en veux a konami et aux joueurs qui n'on pas acheter ce jeux merveilleux qu'etait pes 2020,1,03/10/2023,7,1,lamantable score fleuves constructions attaquants scooter surtout aucun plaisir jouer pourtant veux veux konami aux joueurs acheter jeux merveilleux etait pes,sad
Comme d'hab on fait un copier coller chaque année en changeant seulement le nom et les graphismes et puis ce n'est pas en ajoutant quelque petits truc par ci par là qu'on fait un nouveau jeux et le pire c'est que ce n'est pas que EA toute les grandes boîtes du JV sont devenu une catastrophe.,0,09/10/2023,4,0,comme hab fait copier coller chaque année changeant seulement nom graphismes puis ajoutant quelque petits truc fait nouveau jeux pire toute grandes boîtes devenu catastrophe,sad
Sincèrement déçu de ce jeux remplis de bug et de honte . Surtout au niveau du gardien et de la défense . Vous avez pas la sensation de contrôler votre jeux. Mais plus une sensation de jouer à la roulette . Rouge ou noir . Gagner un match c’est avoir de la chance que les bug sois de votre coter 👍,1,02/10/2023,4,0,sincèrement déçu jeux remplis bug honte surtout niveau gardien défense avez sensation contrôler votre jeux sensation jouer roulette rouge noir gagner match chance bug sois votre coter,sad
Honnêtement le nombre de choses qui ont été supprimés de fifa 23 a ce jeu.. On est censé parler de progrès d’année en année mais encore une fois EA se fiche bien de nous plus de cinématique d’entrée des graphismes digne d’une console portable.Et faire payer les gens un prix fort pour ce navet ?? On peut même plus régler la luminosité c’est dire à quel point c’est grotesque.Le gameplay c’est cataclysmique en mode online c’est que des passes interceptées un forcing pour savoir qui aura le ballon Bref 1/20 c’est déjà beaucoup,1,01/10/2023,4,0,honnêtement nombre choses ont été supprimés fifa jeu censé parler progrès année année encore fois fiche bien nous cinématique entrée graphismes digne console portable faire payer gens prix fort navet peut régler luminosité dire quel point grotesque gameplay cataclysmique mode online passes interceptées forcing savoir aura ballon bref déjà beaucoup,sad
"Chaque année on nous fait les mêmes promesses les mêmes annonces :""EA a écouté les joueurs"" ""Le mode carrière totalement repensé et pleins de nouveauté""...Et au final... on se retrouve dans lequel rien n'évolue hormis les maillots et les compositions d'équipe...Merci EA PLAY d'avoir permis de tester ce jeu 10h et dissuader ainsi de l'achat d'une telle purge...Il n'y a plus aucun fun à jouer à FIFA... le jeu à perdu des licences et demeure sur ce point moins complet que Fifa 16...l'âme du jeu s'est envolé jusque dans les menus moche et pas pratique du jeu.Je ne parlerais pas des scripts... des bugs que l'on peut rencontrer... L'absence de concurrence sérieuse à vraiment justifié à EA que l'on pouvait nous prendre pour des jambons. FUYEZ remettez FIFA 15 dans la console vous vous amuserez plus !",1,29/09/2023,6,1,chaque année nous fait mêmes promesses mêmes annonces écouté joueurs mode carrière totalement repensé pleins nouveauté final retrouve lequel rien évolue hormis maillots compositions équipe merci play permis tester jeu dissuader ainsi achat telle purge aucun fun jouer fifa jeu perdu licences demeure point moins complet fifa âme jeu envolé jusque menus moche pratique jeu parlerais scripts bugs peut rencontrer absence concurrence sérieuse vraiment justifié pouvait nous prendre jambons fuyez remettez fifa con,sad
Il faut être clair. Il n'y a plus aujourd'hui de simulations de foot aujourd'hui. FC24 n'est pas un mauvais jeu dans l'absolu. Mais ce n'est pas une simulation de foot tant le gameplay est très loin de faire ressentir (à minima) les sensations d'un match de foot. Donc ceux qui apprécient une interprétation spectaculaire du foot énormément de contenus et un joli habillage allez-y. Pour les autres oubliez FC24.,8,03/10/2023,5,1,faut être clair aujourd hui simulations foot aujourd hui mauvais jeu absolu simulation foot tant gameplay très loin faire ressentir minima sensations match foot ceux apprécient interprétation spectaculaire foot énormément contenus joli habillage allez autres oubliez,sad
"Un 04/20 pour le même nombre de mots qui résume ce Ea Sports Fc 24 "" de la grosse merde "" le pire fifa de tout les temps. Ce jeu est une insulte aux football. Un 04/20 pour les graphismes toujours aussi bons et les quelques nouvelles cinématiques. Le reste mérite 0",4,29/09/2023,6,2,nombre mots résume sports grosse merde pire fifa temps jeu insulte aux football graphismes toujours aussi bons quelques nouvelles cinématiques reste mérite,anger
J’ai créé un compte exprès pour pouvoir déverser ma haine pour ce jeu 😂😂Le site donne 16/20 là y a un gros problème d’intégrité ! Comment peut-on donner une note pareille ? C’est du foutage de gueule ! Honte à vous qui induisez en erreur vos lecteurs !Ce jeu est une bouse complète ! Défense ingérable inaccessible pour un joueur casual ! Que des tryharder injouable qui dribblent dans tous les sens sans aucune construction. Une parodie de football avec des scores de hand ball ! J’avais pas rejoué depuis le Fifa18 et je me suis rappelé pourquoi…Je l’ai eu dans le pack PS5 sinon j’aurai jamais acheté cette merde !,0,14/03/2024,4,1,créé compte exprès pouvoir déverser haine jeu site donne gros problème intégrité comment peut donner note pareille foutage gueule honte induisez erreur vos lecteurs jeu bouse complète défense ingérable inaccessible joueur casual tryharder injouable dribblent tous sens sans aucune construction parodie football avec scores hand ball avais rejoué depuis fifa suis rappelé pourquoi pack sinon aurai jamais acheté merde,anger
Bien content de ne plus acheter ce jeu depuis fifa 21. J'ai tout de même l'occasion d'y jouer lorsque mon neveu vient chez moi je lui fais quelque matchs FUT lorsqu'il a besoin de gagner... mais qu'est que c'est nul franchement.J'étais un puriste de PES et je suis passé sur fifa en 2010 justement parce que le 1er devenais bcp trop arcade alors que fifa proposait une possession de balle bien plus réaliste des course solitaires en dribbles difficile à réalisé etc... Aujourd'hui on a que des scores fleuve tu peux mener 5-0 à la mt et perdre 7 a 8.Les défenses sont si nuls et tjrs mal placé et qd bien meme on se positionne bien le script fais que votre joueur donne la sensation de glisser sur le terrain et n'intercepte pas la balle sauf s'il est largement meilleur que les joueurs en face ou la c'est le contraire et récupère des balles même dans une direction que vous n'avez pas choisi.Les gestes techniques a tout va qui n'ont jamais d'échec à croire qu'on peut enchaîner 8-9 geste les plus fou sans jamais perdre le contrôle du ballon ni se fatiguer on se croirait plus dans FifaStreet.Globalement le jeu est joli même si c'est tjrs les mêmes graphismes certaines animations sont bien faite mais qu'est qu'on s'en fou... on veut du vrai gameplay des matchs on l'on cherche des solutions par des passe ou des dribbles risquer mais qui demande bien plus de maîtrise et de timing que de simplement tourner le joystick droit dans tous les sens.  Bref ce jeu plaît au plus jeunes parce qu'ils jouent avec leurs idoles et fantasme sur leurs équipe composé des meilleurs joueurs.. mais depuis l'arrivé du mode FUT grosse pompe à fric ce jeu est simplement mauvais. Les années en saison simple était bien meilleur il me manquais que dès match type LDC ou d'autre challenge plus prenant.  Le mode club pro était le seul qui me tenais sur ce jeu de 2014 à 2021 et il a tjrs été laissé de côté une progression nuls des joueurs qui atteignent tous 98 et cours partout sur le terrain sans respect de leur poste qui ne les fatigue a peine. Bref un copier coller encore une fois avec des ajouts nuls et sans fond  comme des bandes sonores ou des tifo a n'en plus voir les supporters. Je suis pas Fan de l'ajout des joueuses féminines mais c'est pas très important ça ne m'aurais pas empêcher d'y jouer si le jeu avait été bon. Faut vraiment que les gens arrête de l'acheter et de dépenser de l'argent dans FUT qu'ils puissent se remettre en question. J'ai testé E-Football et si c'est bcp plus dur de passer des dribble le jeu m'avais l'air bien scripter aussi et relativement pauvre en gameplay. 0 concurrence c'est dommage qu'on puisse pas enfin reprendre du plaisir dans un jeu de foot sérieux.,1,02/10/2023,4,1,bien content acheter jeu depuis fifa occasion jouer lorsque mon neveu vient chez moi lui fais quelque matchs fut lorsqu besoin gagner nul franchement étais puriste pes suis passé fifa justement parce devenais bcp trop arcade alors fifa proposait possession balle bien réaliste course solitaires dribbles difficile réalisé etc aujourd hui scores fleuve peux mener perdre défenses nuls tjrs mal placé bien meme positionne bien script fais votre joueur donne sensation glisser terrain intercepte balle sauf largem,neutral
Essayé sur EAplay  j'ai économisé 70€bugsmenugameplaymode carrière tout est moins bien que FIFA 23passez votre chemin si vous recherchez a prendre du plaisir de jeux sur le rectangle vert car la c'est l'ennuie le plus total,2,02/10/2023,4,1,essayé eaplay économisé bugsmenugameplaymode carrière moins bien fifa passez votre chemin recherchez prendre plaisir jeux rectangle vert car ennuie total,sad
Allez je mets 2 pour les graphismes parce que c'est quand même joli.Sinon gameplay à chier on prend aucun plaisir à jouer et j'ai l'impression que c'est de pire en pire. Depuis FIFA 13 et 14 j'ai l'impression que cette licence est finie.Cette année j'ai eu la curiosité d'aller voir le mode FUT mais faut encore raquer pour jouer ou level up c'est un scandale,2,01/10/2023,4,1,allez mets graphismes parce quand joli sinon gameplay chier prend aucun plaisir jouer impression pire pire depuis fifa impression licence finie année curiosité aller voir mode fut faut encore raquer jouer level scandale,sad
Je joue à la play depuis 26ans. Ce jeu est le premier que j'ai vraiment eu envie de vendre dommage je l'ai acheté sur le store. Y'a deux fifa que j'ai pas prit sur les 20 dernières années celui là me fait arrêter. J'espère que le flambeau sera reprit par des développeurs qui aiment plus le foot que les jeux de cartes à payer sinon c'est mon dernier jeu de foot.,0,10/12/2023,2,0,joue play depuis ans jeu premier vraiment envie vendre dommage acheté store deux fifa prit dernières années celui fait arrêter espère flambeau sera reprit développeurs aiment foot jeux cartes payer sinon mon dernier jeu foot,sad
Si l'on pouvait mettre moins de 0/20 j'aurais mis -40.Je vais donner mon avis très franchement cette ANNEE le jeu est une horreur sans nom :le script les lags les contres favorables l'ARBITRAGE (INCROYABLEMENT A CHIER cest du nimporte quoi)depuis fifa 12 tu n'as qu'a appuyer sur l1+triangle a travers tout le terrain et a enrouler a 46metres pour mettre un butLe jeu est injouable si vous ne regardez pas 4123 tutos sur tiktoks ou youtube pour apprendre les 10 TECHNIQUES LES PLUS BROKEN de cette année le jeu est une HORREUR SANS NOM tous les ans je perds 40€ à l'acheter je joue 1 mois et je suis degouter pendant 11... on est en novembre je pete mon cranePour resumer le jeu EST HORRIBLE.... (je joue exclusivement en club pro*)A fuir GO BOYCOTT,0,06/11/2023,2,0,pouvait mettre moins aurais mis vais donner mon avis très franchement annee jeu horreur sans nom script lags contres favorables arbitrage incroyablement chier cest nimporte depuis fifa appuyer triangle travers terrain enrouler metres mettre butle jeu injouable regardez tutos tiktoks youtube apprendre techniques broken année jeu horreur sans nom tous ans perds acheter joue mois suis degouter pendant novembre pete mon cranepour resumer jeu horrible joue exclusivement club pro fuir boycott,sad
Je ne sais même pas par où commencer.. ce jeu se dégrade d'année en année au regard de ses bugs récurent tantôt dans le gameplay que dans le menu. Quand on joue on a littéralement peur qu'un bug se produise et nous fait encaisser un but : joueur qui ralentit sans raison joueur qui ne réagit pas le gardien qui saute à l'envers joueur qu'on ne peut pas sélectionner (oui l'algorythme pour la sélection des joueurs est un véritable fiasco) etc la liste est très longue. Cela nuit fortement à l'expérience de jeu d'autant plus que des bugsdu type : menu ultimate team qui ne charge plus score board qui bug et affiche un mauvais score ou disparait etc rendent ce jeu baclé. Alors oui il y a des points positifs comme l'excellent graphisme visuel la multitude de mode de jeu etc mais d'un point de vue général ce jeu n'est plus ce qu'il était avant 2018,1,22/10/2023,2,0,sais commencer jeu dégrade année année regard ses bugs récurent tantôt gameplay menu quand joue littéralement peur bug produise nous fait encaisser but joueur ralentit sans raison joueur réagit gardien saute envers joueur peut sélectionner oui algorythme sélection joueurs véritable fiasco etc liste très longue cela nuit fortement expérience jeu autant bugsdu type menu ultimate team charge score board bug affiche mauvais score disparait etc rendent jeu baclé alors oui points positifs comme excellent graphi,sad
Étant un grand fan de la franchise cet année je me suis posé la question à savoir si je jouais vraiment à FIFA ( EA sport FC 24). C’est le pire Fifa que j’ai eu à jouer étant un adepte de ce jeu depuis 2012. Aucune sensation aucun plaisir aucun réalisme dans le gameplay. Ça ressemble plus à un jeu de tenis qu’à un jeu de foot. Je regrette même d’avoir acheter cet Opus tellement on ne ressent plus l’ADN de FIFA,1,20/10/2023,2,0,étant grand fan franchise cet année suis posé question savoir jouais vraiment fifa sport pire fifa jouer étant adepte jeu depuis aucune sensation aucun plaisir aucun réalisme gameplay ressemble jeu tenis jeu foot regrette acheter cet opus tellement ressent adn fifa,sad
1 unique point pour la quantité des équipes presentent sur le jeu.Le reste du jeu est un scandale sans nom.Pompe à fric depuis des années le gameplay est de pire en pire depuis 10 ans. Le script omniprésent dans tous les matchs les contre favorables la vitesse des joueurs n’est pas respectée par rapport a ce que le jeu dit (un défenseur de 65 de vitesse peut etre plus rapide qu’un attaquant ayant 90 … bref incompréhensible ce jeu). Et le clou du suspens les courses R1 et les gardiens sont catastrophiques pour le bon déroulement du jeu. Trop de bugs sont présents sur le jeu depuis des années et rien n’a ete fait pour corriger cela. « Le jeu de football le plus réaliste » disent-ils…Je prenais plus de plaisir à jouer à Fifa 98 sur PS1.Bref amateur de football fuyez le jeu. Économisez 50€ pour aller voir un vrai match de foot.,1,17/10/2023,2,0,unique point quantité équipes presentent jeu reste jeu scandale sans nom pompe fric depuis années gameplay pire pire depuis ans script omniprésent tous matchs contre favorables vitesse joueurs respectée rapport jeu dit défenseur vitesse peut etre rapide attaquant ayant bref incompréhensible jeu clou suspens courses gardiens catastrophiques bon déroulement jeu trop bugs présents jeu depuis années rien ete fait corriger cela jeu football réaliste disent prenais plaisir jouer fifa bref amateur football fuyez,anger
