review,notes,dates,accords_avis,dessaccords_avis
"EA de pire en pire. Des voleurs complet. C’est le plus nul de tous les fifa. Ça en devient écœurant même. Les modélisations de joueurs connus pas finaliser, maillots manquants.Et encore pire ils ont totalement supprimé les scènes d’entrées de matchs. (Fini l’hymne de la LDC, ligue anglaise, bundesliga, séria A, liga etc…) avec l’entrée des joueurs hyper bâclé.Ca ne ressemble même plus à un jeu de simulation de football.Un désastre complet surtout pour le prix.Totalement dégoûté par ce jeu de m….Et surtout cette entreprise de bons a riens avec leur développeurs hyper incompétents.Gameplay à chier, que des scores de tennis, gardiens passoir …Le jeu à fuir !",1,Posté le 29 sept. 2023 à 23:58,25,2
"Encore une année où je perd de l’argent , EA de pire en pire , les joueurs qui beug , les gardien de la vrai grosse merde 0 arrêt , la communauté en ligne j’en parle pas les gens ne savent plus jouer au football il savent faire que des tout droit des l’engagement du match 0 création de jeux sa devient écœurant, les femmes qui ont de meilleurs stats que les mecs du jamais vue ok les femme savent jouer au foot mais faut pas abuser non plus , les faute coup d’épaule ou pied sur le ballon carton rouge et tacle de boucher c’est avertissement voir jaune je parle pas de beug ou de scrip quand tu mène au score du genre 3-1 à la mi temp et deuxième mi temp l’adversaire a tout les contre improbable du jeu et remonte le score voir passe devant en même pas 10 min , les changements de joueur se font aléatoirement donc sa devien ingérable en défense ect EA manger vous un mur tant qu’il n’y aura pas d’amélioration je supprime le jeu.",0,Posté le 04 oct. 2023 à 20:07,12,0
"jai l'impression de voir les mêmes Avis q en 2022 2023  pourquoi changer un truc nul qui rapporte des millions  , leurs but c'est de vous faire croire que tout les ans ça  s'améliore arrêté de les hacheter",1,Posté le 05 oct. 2023 à 19:05,10,0
"Le pire jeux de l'histoire, 70e ? Foutage de gueulle, une mise à jour aurait plus honnête, la c est clairement du vol. La defense catastrophique pour anticipé entre les lignes, pleins d incoherences dans les mouvements, duel, contre, j en parle pas des tetes en gros c est fifa 23 en plus nul et oui c est la marque fifa depuis 7 ans sa régresse et font des milliards euros sur notre dos, alors qu avec tout cet argent il devrai aisement faire évoluer le jeu dans le sens de la demande de leurs enrichisseurs.terminer fifa en attente d un concurrent qui sera honnete et recuperer tout les clients.Aller les gars en parler autour de vous t a ce renseigner pour faire évoluer cette idee de trouver un concurrent",0,Posté le 03 oct. 2023 à 22:43,10,0
"Absolument scandaleux de proposer un jeu de foot aussi buggé.Défense catastrophique, des gardiens atroces, tout le système défensif est défaillant. 😡Il est pratiquement impossible de jouer sereinement sans vivre des situations grotesques pendant un match.Des scores de tennis, des buts complètement WTF mais le pire est cet effet de patinoire où les joueurs glissent constamment et ne tiennent pas debout 😫Merci aux 10 Heures de l’EA Play de m’avoir épargné cet attentat vidéoludique.",2,Posté le 29 sept. 2023 à 08:51,20,2
"Une arnaque, tout simplement.Le jeu est pire que FIFA 23. La défense est totalement INJOUABLE, impossible de prendre la balle aux attaquants (qui glissent comme si ils étaient à la patinoire), les animations de leur blague ""HYPERMOTION V"" sont grotesques, les animations sont pires que les Fifa précédents ! Il y a une vidéo de fifa 19 qui tournent en ce moment qui montrent que ça a régressé à ce niveau là, je vous invite à aller la voir. Les engagements toujours autant bugés, la profondeur toujours autant dévastatrice, les défenseurs qui reculent pour laisser passer les attaquants et j'en passe. Sam Kerr et ses 1m63 qui bougent mon Van Dijk et gagne des duels de la tête de défenseurs de plus de 1m90 mais WTF ????????Il y a pas un match qui ne finit pas par un score de tennis, impossible d'être en place tellement ça va dans tous les sens. Ce jeu mérite un 0 pointé tellement EA sports se fiche de la g***** du monde. J'en ai terminé avec les jeux de foot après plus de 20 ans de bon et loyaux services mais je ne suis plus le public visé. En Bref, passez votre chemin, sinon vos manettes vont y passer.",0,Posté le 07 oct. 2023 à 01:08,14,1
"Le pire « fifa ». Impossible de défendre correctement, des grands ponts à gogo, un gardien = passoire. Extrêmement déçu, une vrai daube. Rarement un tel échec.",2,Posté le 08 oct. 2023 à 11:05,12,1
Belle blague je les eu gratuitement résultat mon pote et devenu mon ennemi je vous déconseille cette blague c'est vraiment le pire jeu de foot ne l'achetez pas c'est vraiment une honte les bug a chaque fois je suis devant les cage mon joueur ne tire pas s'arrête de bougez c'est vraiment un sketch,0,Posté le 03 oct. 2023 à 11:54,21,0
"EA qui comme d'habitude s'engraisse avec les pigeons mais le jeu est de pire en pire. Une Caaataaastrophe ""Simulation"" de football lol.Vivement qu'un concurrent vienne s'immiscer dans la lutte ! C'est pas près d'arriver malheureusement !",0,Posté le 29 sept. 2023 à 19:06,17,0
"Plus de 10 ans que je joue à cette licence. Je pense que je n'ai jamais vu un jeu aussi mauvais et aussi mal fini.J'ai l'impression que EA a rassemblé tous les bugs des opus précédents dans celui ci, rien ne va. Je n'ai même pas envie de les énumérer tellement il y en a. C'est le gameplay le plus nul, injouable et insipide tous FIFA confondu.Sinon, rien n'a changé dans tous les modes de jeu. C'est toujours les mêmes qu'il y a 5 ans mais ça on a l'habitude. Les menus sont lents, ça aussi c'est raté. Bref, j'ai pas tout en tête mais c'est de loin le plus mauvais jeu que j'ai pu testé. Un beau 0 bien mérité.",0,Posté le 13 oct. 2023 à 18:10,7,0
"depuis fifa 08, j'ai acheté tous les fifa à la sortie, depuis quelques années déjà je voyais qu'ils se foutaient de nous. je n'ai mis d'avis mais la je suis obligé, le gameplay est casi le même depuis fifa 18. j'en ai marre de payer des maj chaques années. 0/20 bien mérité",0,Posté le 02 oct. 2023 à 15:46,7,0
"Essayé sur l'EA access et franchement c'était largement suffisant pour voire qu'il y a 0 évolution (comme le note que je lui attribue), par rapport aux précédents opus. On ne sent même plus la différence pad en main. Là, on tombe vraiment dans l'escroquerie! N'achetez pas cette arnaque! Gardez votre argent pour un jeu qui en vaut la peine.",0,Posté le 02 oct. 2023 à 14:53,7,0
"Chaque année, les jeux sont de plus en plus nul et ce FC24 est le pire jeu de foot depuis plusieurs années.EA a osé retiré les entrées des joueurs ce qui gâche tout, je ne comprends pas comment ils ont pu faire ça. L'entrée et la présentation des joueurs, les hymnes et les compositions des équipes font parti du match, sans ça je n'ai aucune envie d'y jouer, sans parler du peu de nouveautés.",0,Posté le 01 oct. 2023 à 17:00,7,0
"EA a tué cette licence avec FUT, il n'y a rien d'autre à dire.Ce jeu de carte n'a rien à faire sur un jeu de simulation de foot.On ne peut même pas faire du 2v2 3v3 ect avec des potes en ligne en 2023",1,Posté le 20 oct. 2023 à 17:17,5,0
"Pire jeu, on change pas une équipe qui gagne. Je pensais que ça allait changer ne serait-ce qu'un peu avec le nouveau, je pensais mal, il n'en est guère. À fuir.",0,Posté le 09 oct. 2023 à 21:25,5,0
Le pire fifa depuis que j’y joue (fifa 09). Le jeu fait que bug dans les menus. Des bug daffichage 1 match sur deux. Au niveau des matchs c’est au moins méritant de gagner. Le jeu décide à l’avance qui va gagner et ne s’en cache plus avec des contres favorables à tout vas. Un bon fifa bien nul qui me donne envie d’arrêter complètement se je de m***,1,Posté le 09 oct. 2023 à 20:16,5,0
"Une simple copie de fifa 23. Des ajouts mineurs qui ne nécessitent pas un tarif aussi élevé. Pour couronner le tout, les cinématiques d’entrées ont été supprimées…La priorité est clairement donner à FUT, au détriment des joueurs solo.",5,Posté le 09 oct. 2023 à 13:10,8,1
"lamantable, des score fleuves de 7 à 6, pas de constructions, des attaquants sur scooter et surtout aucun plaisir a jouer.pourtant je n'en veux pas à ea, j'en veux a konami et aux joueurs qui n'on pas acheter ce jeux merveilleux qu'etait pes 2020",1,Posté le 03 oct. 2023 à 05:14,7,1
Comme d'hab on fait un copier coller chaque année en changeant seulement le nom et les graphismes et puis ce n'est pas en ajoutant quelque petits truc par ci par là qu'on fait un nouveau jeux et le pire c'est que ce n'est pas que EA toute les grandes boîtes du JV sont devenu une catastrophe.,0,Posté le 09 oct. 2023 à 11:47,4,0
Sincèrement déçu de ce jeux remplis de bug et de honte . Surtout au niveau du gardien et de la défense . Vous avez pas la sensation de contrôler votre jeux. Mais plus une sensation de jouer à la roulette . Rouge ou noir . Gagner un match c’est avoir de la chance que les bug sois de votre coter 👍,1,Posté le 02 oct. 2023 à 01:29,4,0
"Honnêtement, le nombre de choses qui ont été supprimés de fifa 23 a ce jeu.. On est censé parler de progrès d’année en année mais encore une fois EA se fiche bien de nous, plus de cinématique d’entrée, des graphismes digne d’une console portable.Et faire payer les gens un prix fort pour ce navet ?? On peut même plus régler la luminosité c’est dire à quel point c’est grotesque.Le gameplay c’est cataclysmique, en mode online c’est que des passes interceptées, un forcing pour savoir qui aura le ballon Bref 1/20 c’est déjà beaucoup",1,Posté le 01 oct. 2023 à 20:17,4,0
"Chaque année on nous fait les mêmes promesses, les mêmes annonces :""EA a écouté les joueurs"" ""Le mode carrière totalement repensé et pleins de nouveauté""...Et au final... on se retrouve dans lequel rien n'évolue hormis les maillots et les compositions d'équipe...Merci EA PLAY d'avoir permis de tester ce jeu 10h et dissuader ainsi de l'achat d'une telle purge...Il n'y a plus aucun fun à jouer à FIFA... le jeu à perdu des licences et demeure sur ce point moins complet que Fifa 16...l'âme du jeu s'est envolé jusque dans les menus moche et pas pratique du jeu.Je ne parlerais pas des scripts... des bugs que l'on peut rencontrer... L'absence de concurrence sérieuse à vraiment justifié à EA que l'on pouvait nous prendre pour des jambons. FUYEZ remettez FIFA 15 dans la console, vous vous amuserez plus !",1,Posté le 29 sept. 2023 à 23:49,6,1
"Il faut être clair. Il n'y a plus aujourd'hui de simulations de foot aujourd'hui. FC24 n'est pas un mauvais jeu dans l'absolu. Mais ce n'est pas une simulation de foot, tant le gameplay est très loin de faire ressentir (à minima) les sensations d'un match de foot. Donc ceux qui apprécient une interprétation spectaculaire du foot, énormément de contenus et un joli habillage allez-y. Pour les autres oubliez FC24.",8,Posté le 03 oct. 2023 à 10:47,5,1
"Un 04/20 pour le même nombre de mots qui résume ce Ea Sports Fc 24 "" de la grosse merde "", le pire fifa de tout les temps. Ce jeu est une insulte aux football. Un 04/20 pour les graphismes toujours aussi bons et les quelques nouvelles cinématiques. Le reste mérite 0",4,Posté le 29 sept. 2023 à 16:51,6,2
Belle blague je les eu gratuitement résultat mon pote et devenu mon ennemi je vous déconseille cette blague c'est vraiment le pire jeu de foot ne l'achetez pas c'est vraiment une honte les bug a chaque fois je suis devant les cage mon joueur ne tire pas s'arrête de bougez c'est vraiment un sketch,0,Posté le 03 oct. 2023 à 11:54,21,0
"EA qui comme d'habitude s'engraisse avec les pigeons mais le jeu est de pire en pire. Une Caaataaastrophe ""Simulation"" de football lol.Vivement qu'un concurrent vienne s'immiscer dans la lutte ! C'est pas près d'arriver malheureusement !",0,Posté le 29 sept. 2023 à 19:06,17,0
"J’ai créé un compte exprès pour pouvoir déverser ma haine pour ce jeu 😂😂Le site donne 16/20, là y a un gros problème d’intégrité ! Comment peut-on donner une note pareille ? C’est du foutage de gueule ! Honte à vous qui induisez en erreur vos lecteurs !Ce jeu est une bouse complète ! Défense ingérable, inaccessible pour un joueur casual ! Que des tryharder injouable qui dribblent dans tous les sens sans aucune construction. Une parodie de football avec des scores de hand ball ! J’avais pas rejoué depuis le Fifa18 et je me suis rappelé pourquoi…Je l’ai eu dans le pack PS5 sinon j’aurai jamais acheté cette merde !",0,Posté le 14 mars à 00:35,4,1
"Bien content de ne plus acheter ce jeu depuis fifa 21. J'ai tout de même l'occasion d'y jouer lorsque mon neveu vient chez moi, je lui fais quelque matchs FUT lorsqu'il a besoin de gagner... mais qu'est que c'est nul franchement.J'étais un puriste de PES et je suis passé sur fifa en 2010 justement parce que le 1er devenais bcp trop arcade alors que fifa proposait une possession de balle bien plus réaliste, des course solitaires en dribbles difficile à réalisé etc... Aujourd'hui on a que des scores fleuve, tu peux mener 5-0 à la mt et perdre 7 a 8.Les défenses sont si nuls et tjrs mal placé et qd bien meme on se positionne bien le script fais que votre joueur donne la sensation de glisser sur le terrain et n'intercepte pas la balle sauf s'il est largement meilleur que les joueurs en face ou la c'est le contraire et récupère des balles même dans une direction que vous n'avez pas choisi.Les gestes techniques a tout va qui n'ont jamais d'échec, à croire qu'on peut enchaîner 8-9 geste les plus fou sans jamais perdre le contrôle du ballon ni se fatiguer, on se croirait plus dans FifaStreet.Globalement le jeu est joli même si c'est tjrs les mêmes graphismes certaines animations sont bien faite mais qu'est qu'on s'en fou... on veut du vrai gameplay, des matchs on l'on cherche des solutions par des passe ou des dribbles risquer mais qui demande bien plus de maîtrise et de timing que de simplement tourner le joystick droit dans tous les sens.  Bref ce jeu plaît au plus jeunes parce qu'ils jouent avec leurs idoles, et fantasme sur leurs équipe composé des meilleurs joueurs.. mais depuis l'arrivé du mode FUT grosse pompe à fric ce jeu est simplement mauvais. Les années en saison simple était bien meilleur il me manquais que dès match type LDC ou d'autre challenge plus prenant.  Le mode club pro était le seul qui me tenais sur ce jeu de 2014 à 2021 et il a tjrs été laissé de côté, une progression nuls des joueurs qui atteignent tous 98 et cours partout sur le terrain sans respect de leur poste qui ne les fatigue a peine. Bref un copier coller encore une fois avec des ajouts nuls et sans fond,  comme des bandes sonores ou des tifo a n'en plus voir les supporters. Je suis pas Fan de l'ajout des joueuses féminines mais c'est pas très important ça ne m'aurais pas empêcher d'y jouer si le jeu avait été bon. Faut vraiment que les gens arrête de l'acheter et de dépenser de l'argent dans FUT qu'ils puissent se remettre en question. J'ai testé E-Football et si c'est bcp plus dur de passer des dribble le jeu m'avais l'air bien scripter aussi et relativement pauvre en gameplay. 0 concurrence c'est dommage qu'on puisse pas enfin reprendre du plaisir dans un jeu de foot sérieux.",1,Posté le 02 oct. 2023 à 23:10,4,1
"Essayé sur EAplay , j'ai économisé 70€,bugs,menu,gameplay,mode carrière ,tout est moins bien que FIFA 23passez votre chemin si vous recherchez a prendre du plaisir de jeux sur le rectangle vert ,car la c'est l'ennuie le plus total",2,Posté le 02 oct. 2023 à 11:01,4,1
Allez je mets 2 pour les graphismes parce que c'est quand même joli.Sinon gameplay à chier on prend aucun plaisir à jouer et j'ai l'impression que c'est de pire en pire. Depuis FIFA 13 et 14 j'ai l'impression que cette licence est finie.Cette année j'ai eu la curiosité d'aller voir le mode FUT mais faut encore raquer pour jouer ou level up c'est un scandale,2,Posté le 01 oct. 2023 à 09:07,4,1
"Je joue à la play depuis 26ans. Ce jeu est le premier que j'ai vraiment eu envie de vendre, dommage je l'ai acheté sur le store. Y'a deux fifa que j'ai pas prit sur les 20 dernières années, celui là me fait arrêter. J'espère que le flambeau sera reprit par des développeurs qui aiment plus le foot que les jeux de cartes à payer, sinon c'est mon dernier jeu de foot.",0,Posté le 10 déc. 2023 à 19:03,2,0
"Si l'on pouvait mettre moins de 0/20, j'aurais mis -40.Je vais donner mon avis très franchement, cette ANNEE le jeu est une horreur sans nom :le script, les lags, les contres favorables, l'ARBITRAGE (INCROYABLEMENT A CHIER cest du nimporte quoi)depuis fifa 12 tu n'as qu'a appuyer sur l1+triangle a travers tout le terrain et a enrouler a 46metres pour mettre un butLe jeu est injouable, si vous ne regardez pas 4123 tutos sur tiktoks ou youtube, pour apprendre les 10 TECHNIQUES LES PLUS BROKEN de cette année, le jeu est une HORREUR SANS NOM, tous les ans je perds 40€ à l'acheter je joue 1 mois et je suis degouter pendant 11... on est en novembre je pete mon cranePour resumer le jeu EST HORRIBLE.... (je joue exclusivement en club pro*)A fuir, GO BOYCOTT",0,Posté le 06 nov. 2023 à 16:16,2,0
"Je ne sais même pas par où commencer.. ce jeu se dégrade d'année en année au regard de ses bugs récurent tantôt dans le gameplay que dans le menu. Quand on joue on a littéralement peur qu'un bug se produise et nous fait encaisser un but : joueur qui ralentit sans raison, joueur qui ne réagit pas, le gardien qui saute à l'envers, joueur qu'on ne peut pas sélectionner (oui l'algorythme pour la sélection des joueurs est un véritable fiasco) etc la liste est très longue. Cela nuit fortement à l'expérience de jeu d'autant plus que des bugsdu type : menu ultimate team qui ne charge plus, score board qui bug et affiche un mauvais score ou disparait etc rendent ce jeu baclé. Alors oui il y a des points positifs comme l'excellent graphisme visuel, la multitude de mode de jeu etc mais d'un point de vue général ce jeu n'est plus ce qu'il était avant 2018",1,Posté le 22 oct. 2023 à 14:32,2,0
"Étant un grand fan de la franchise, cet année je me suis posé la question à savoir si je jouais vraiment à FIFA ( EA sport FC 24). C’est le pire Fifa que j’ai eu à jouer étant un adepte de ce jeu depuis 2012. Aucune sensation, aucun plaisir, aucun réalisme dans le gameplay. Ça ressemble plus à un jeu de tenis qu’à un jeu de foot. Je regrette même d’avoir acheter cet Opus, tellement on ne ressent plus l’ADN de FIFA",1,Posté le 20 oct. 2023 à 11:05,2,0
"1 unique point pour la quantité des équipes presentent sur le jeu.Le reste du jeu est un scandale sans nom.Pompe à fric depuis des années, le gameplay est de pire en pire depuis 10 ans. Le script omniprésent dans tous les matchs, les contre favorables, la vitesse des joueurs n’est pas respectée par rapport a ce que le jeu dit (un défenseur de 65 de vitesse peut etre plus rapide qu’un attaquant ayant 90 … bref incompréhensible ce jeu). Et le clou du suspens, les courses R1 et les gardiens sont catastrophiques pour le bon déroulement du jeu. Trop de bugs sont présents sur le jeu depuis des années et rien n’a ete fait pour corriger cela. « Le jeu de football le plus réaliste » disent-ils…Je prenais plus de plaisir à jouer à Fifa 98 sur PS1.Bref, amateur de football, fuyez le jeu. Économisez 50€ pour aller voir un vrai match de foot.",1,Posté le 17 oct. 2023 à 16:46,2,0
"Un jeu d'arcade avec des joueurs trop rapide et des fonctionnalités de gameplay, relatives au contrôle des joueurs à l'arrêt, absent par rapport à Fifa 23. Des cinématique d'ouverture ridicule, sans les compositions d'équipe, complètement déconnecté de la réalité !Les matches de hautes intensités sont de véritables foutouard, du fait que les joueurs n'ont pas réellement la possession d'un ballon trop versatile ! Pas de stabilité dans la tenue du ballon ! C'est vraiment du grand n'importe quoi !La seule chose que explique les bons résultats de vente de cette bouse, c'est que EA est seul sur son marché, sans réelle concurrence sérieuse.Il aurait simplement fallut qu'EA reprenne Fifa 23 et le réactualise avec effectif, maillot et chaussures pour la nouvelle saison. Au lieu de prendre Fifa 23 et de le détériorer.Un mot pour qualifier ce nouvel opus : ÉCŒURANT.",1,Posté le 12 oct. 2023 à 17:43,2,0
"Définition parfaite du pay to win comme d’habitude. Plus aucun plaisir à jouer au mode fut. Ajout des féminines dans fut, logique, plus de cartes donc plus de variantes donc plus de packs et donc plus de tunes, on connaît la recette!Avoir des gardiens à plus de 80 de global qui ont le niveau de U15 district 4 mais normal…Comme d’habitude pas d’amélioration, ea n’apprend toujours pas de ses erreurs, dommage… vivement un conçurent à la hauteur!",1,Posté le 11 oct. 2023 à 18:59,2,0
"horrible jeu, plus d'hymne de la ldc on a au lieu de ça un gros cadre d'objectif dont personne en a quelque chose a faire, plus de cinématique d'entrée des joueurs, public horriblement mal fait aucun progrès depuis des années, les nombreuses catastrophes qui se produisent entre les joueurs (comme a chaque fifa) du style les joueurs qui se rentrent dedans et qui ne tiennent jamais debout, les buts gags qui arrivent quasiment a tout les match, les niveaux de difficultés en mode carrière qui sont complément éclaté ( en pro c'est des aveugles en face, et la difficulté au dessus qui est ""champions"" c'est un injouable) impossibilité de changer la langue des commentaire en match (gros coup dur pour le réalisme) et j'en passe... bref ce jeu est une énorme blague, chaque année c'est de pire en pire, bref ""FC24"" est largement moins bien que FIFA 15 et c'est une honte absolue, ne gaspillez pas votre argent dans cette daube.",1,Posté le 10 oct. 2023 à 03:29,2,0
"Est ce que ce jeu mérite 0-20??? Non… il en mériterais plutôt 7/20! C’est une énorme bouze comme tout les FIFA depuis des années. Mais EA est capable chaque année de nous étonner toujours un peu plus! Et de prouver que :1 - Ils se foutent totalement de la gueule de leur client!2 - Qu’ils ne comprennent absolument rien au football!3 - Voyant les gens jouer toujours plus à FÛT et à mettre toujours plus d’argent dans un pack opening, se disent que leur clientèle est définitivement lobotomisé et que par conséquent il n’y avait aucune raison de ne pas continuer à se payer leurs tronches!Les gros défauts de ce jeu :- Vitesse de jeu beaucoup beaucoup beaucoup beaucoup trop rapide!- TOUT EST ASSISTÉ!!! (Pressing, passe en profondeur, blocs) un véritable bonheur pour les joueur META (tout ceux qui ont appris le foot via FUT et qui n’y comprennent rien!) Un enfer pour ceux qui essaie un tant soit peu de jouer au foot!- OPEN BAR AU NIVEAU DU SCRIPT!- L’IA!!!! J’entends très souvent des joueurs se réjouir des nouveautés du mode carrière! Mais je ne comprend pas comment on peut se b….. devant 3 cinématique pour le mode carrière, et en oubliez l’essence du jeu! Le Gamplay!!! Et avec une IA pareil, c’est tout simplement nul à chier!!!A quoi bon avoir les logo des championnats et des équipes, l’affichage officiel du championnat avec les maillots et les stades, si c’est pour avoir l’impression de jouer contre une IA totalement debile et en même temps complètement cheater!Qualités : Des super musiques comme très souvent! Mais à 70€ la playlist, je vous conseil un abonnement Spotify ou Deezer!Dernier carton rouge adressé au « journaliste » de jeuxvideo.com qui a réalisé la critique de ce FC24!Le chèque venu d’EA devait être assez conséquent pour avoir le culot de mettre 16/20 à cette bouze!Donc Cher Monsieur, de 2 choses l’une, soit vous vous êtes fait acheter par EA et vous n’avez rien à faire en tant que journaliste, soit vous trouvez que ce jeu est réellement bien, et a ce moment là, vous avez un problème psychatrique et n’avez rien à faire là non plus!Bref que ce soit Jeuxvideo.com ou EA, comment arrivez à vous regardez dans la glace le matin?",0,Posté le 10 oct. 2023 à 00:08,2,0
"Dire que certains payent 100 € pour le dernier jeu fifa actif  mais qui sont les pigeons qui payent ça 100 balles 😂😂😂. C'est le jeu de foot le plus médiocre auquel je n'ai jamais joué de ma vie. C'est une catastrophe de gameplay, ça en devient lunaire.Des gardiens en pâte à modeler, des joueurs patineurs artistiques qui tombent toutes les 5 minutes. Un affichage de menu horrible...Bref j'ai payé l'abonnement EA play sur un mois à 0.99  cents d'€ pour tester le jeu 10h sans avoir à le payer en entier et quelle bonne idée de la part de EA que cet abonnement !! Ça confirme toute la médiocrité de leur dernier joujou qui ne vaut même pas 20 € tellement c'est claqué au sol.Sur mes 10 heures de jeu j'ai encore 7h restantes et je comprends pourquoi, il est terriblement nullissime. Je suis impressionné par autant de nullité...Ils n'ont pas perdu que la licence avec cet opus, ils ont perdu aussi des joueurs. Car il ne reste plus que les plus grosses dindes parmi les amateurs ou mordus de foot pour encore payer pour cette arnaque grandeur nature, que dis-je pour cette arnaque mondiale...",0,Posté le 06 oct. 2023 à 19:06,2,0
"Je pense a fc 24 chaque fois que je m'assoie depuis le 29 septembre, des attaquants surpuissants mais des défenseurs et des gardiens nul à chier rendant le jeu complètement déséquilibré donnant des scores de 7-3 ou 8-4 par exemple. Un manque de réalisme total.",0,Posté le 06 oct. 2023 à 14:28,2,0
Belle blague je les eu gratuitement résultat mon pote et devenu mon ennemi je vous déconseille cette blague c'est vraiment le pire jeu de foot ne l'achetez pas c'est vraiment une honte les bug a chaque fois je suis devant les cage mon joueur ne tire pas s'arrête de bougez c'est vraiment un sketch,0,Posté le 03 oct. 2023 à 11:54,21,0
"EA qui comme d'habitude s'engraisse avec les pigeons mais le jeu est de pire en pire. Une Caaataaastrophe ""Simulation"" de football lol.Vivement qu'un concurrent vienne s'immiscer dans la lutte ! C'est pas près d'arriver malheureusement !",0,Posté le 29 sept. 2023 à 19:06,17,0
"Le pire ""Fifa"" de l'histoire. Sur UT la defense est catastrophique, ils ont essayer de tenter quelque chose mais ce n'est clairement pas au point. A se demander si ils ont réellement eu le temps de finir le jeu où s'ils ont balancé ca comme ca dans l'objectif d'améliorer avec les MAJ.L'attaque est encore une fois et plus que jamais favorisée. Le vrai football est mort dans les jeux videos. Je regrette dd l'avoir acheté. Ce sera le dernier que j'achète si cette merde ne s'améliore pas.",0,Posté le 03 oct. 2023 à 21:00,2,0
